Growless Cave  (2907,5347)  (2979,5309)  (3053,5294)  (3087,5241)  | overflowToLeft=false
Stratholme City Interior  (3622,553)  (3572,602)  (3572,552)  (3671,603)  (3622,503)  (3672,503)  (3672,553)  (3570,502)  (3621,652)  (3571,652)  (3522,602)  (3522,552)  (3721,603)  (3721,653)  (3671,653)  (3521,653)  (3620,453)  (3670,453)  (3720,453)  (3722,503)  (3722,553)  (3520,502)  (3520,452)  (3570,452)  (3770,405)  (3621,702)  (3571,702)  (3472,603)  (3472,553)  (3771,603)  (3771,653)  (3771,703)  (3721,703)  (3671,703)  (3521,703)  (3471,703)  (3471,653)  (3620,403)  (3670,403)  (3720,403)  (3772,455)  (3772,505)  (3470,503)  (3470,453)  (3470,403)  (3520,402)  (3570,402)  (3770,355)  (3820,355)  (3820,405)  (3621,752)  (3571,752)  (3422,603)  (3422,553)  | overflowToLeft=false
Dalaran  (2681,5265)  (2631,5277)  (2707,5315)  (2662,5215)  (2731,5235)  | overflowToLeft=false
SZ22  (1348,5949)  (1298,5998)  (1298,5948)  (1397,5999)  (1348,5899)  (1398,5899)  (1398,5949)  (1296,5898)  (1347,6048)  (1297,6048)  (1248,5998)  (1248,5948)  (1447,5999)  (1447,6049)  (1397,6049)  (1247,6049)  (1346,5849)  (1396,5849)  (1446,5849)  (1448,5899)  (1448,5949)  (1246,5898)  (1246,5848)  (1296,5848)  (1496,5801)  (1347,6098)  (1297,6098)  (1497,5999)  (1494,6099)  (1444,6099)  (1346,5799)  (1396,5799)  (1446,5799)  (1498,5851)  (1498,5901)  (1196,5934)  (1196,5884)  (1196,5834)  (1246,5798)  (1296,5798)  (1182,5784)  (1496,5751)  (1546,5751)  (1546,5801)  (1394,6148)  (1344,6148)  (1294,6148)  (1346,5749)  (1396,5749)  (1446,5749)  (1596,5701)  (1596,5751)  | overflowToLeft=false
SZ21  (594,6154)  (544,6203)  (544,6153)  (643,6204)  (594,6104)  (644,6104)  (644,6154)  (542,6103)  (593,6253)  (543,6253)  (494,6203)  (494,6153)  (693,6204)  (693,6254)  (643,6254)  (493,6254)  (592,6054)  (642,6054)  (692,6054)  (694,6104)  (694,6154)  (492,6103)  (492,6053)  (542,6053)  (742,6006)  (593,6303)  (543,6303)  (444,6204)  (444,6154)  (743,6204)  (743,6254)  (743,6304)  (693,6304)  (643,6304)  (493,6304)  (443,6304)  (443,6254)  (592,6004)  (642,6004)  (692,6004)  (744,6056)  (744,6106)  (442,6104)  (442,6054)  (442,6004)  (492,6003)  (542,6003)  (742,5956)  (792,5956)  (792,6006)  (593,6353)  (543,6353)  (394,6204)  (394,6154)  | overflowToLeft=false
SZ20  (1626,6586)  (1576,6635)  (1576,6585)  (1675,6636)  (1626,6536)  (1676,6572)  (1574,6535)  (1526,6663)  (1526,6613)  (1725,6622)  (1524,6563)  (1524,6513)  (1502,6463)  (1476,6663)  (1476,6613)  (1775,6618)  (1474,6563)  (1474,6513)  (1452,6463)  (1452,6413)  (1825,6643)  (1424,6541)  (1402,6483)  (1402,6433)  (1402,6383)  (1452,6363)  (1875,6642)  (1372,6333)  (1422,6313)  (1472,6287)  (1925,6618)  (1327,6283)  (1386,6263)  (1975,6625)  (2025,6636)  (2075,6658)  | overflowToLeft=false
Dalaran Mountains  (2435,5263)  (2385,5312)  (2385,5262)  (2462,5313)  (2435,5213)  (2485,5213)  (2485,5263)  (2407,5362)  (2405,5163)  (2455,5163)  (2535,5222)  (2535,5272)  (2350,5134)  (2576,5414)  (2584,5464)  (2619,5514)  (2569,5514)  (2669,5548)  (2619,5564)  (2569,5564)  (2691,5598)  (2633,5614)  (2583,5614)  | overflowToLeft=false
Stromgarde Road  (3803,6128)  (3753,6153)  (3762,6078)  (3853,6133)  (3903,6157)  (3819,6074)  (3874,6073)  | overflowToLeft=false
Northridge Lumber Camp  (3724,4153)  (3674,4192)  (3674,4142)  (3730,4103)  (3774,4158)  | overflowToLeft=false
Northdale  (5551,3779)  (5494,3778)  (5431,3763)  (5405,3821)  (5464,3832)  (5528,3839)  (5582,3864)  (5526,3903)  (5468,3892)  (5404,3872)  | overflowToLeft=false
Cold Hearth Manor  (2569,4311)  (2519,4360)  (2519,4310)  (2539,4260)  | overflowToLeft=false
Agol'watha  (4709,5220)  (4659,5258)  (4659,5208)  (4759,5196)  (4809,5173)  (4809,5223)  | overflowToLeft=false
Runestone Shan'dor  (5308,2468)  (5258,2517)  (5295,2418)  (5345,2418)  (5358,2468)  (5208,2554)  (5408,2466)  | overflowToLeft=false
SZ29  (1430,3993)  (1380,4042)  (1380,3992)  (1479,4043)  (1430,3943)  (1480,3943)  (1480,3993)  (1378,3942)  (1429,4092)  (1379,4092)  (1330,4042)  (1330,3992)  (1529,4043)  (1329,4093)  (1428,3893)  (1478,3893)  (1528,3893)  (1530,3943)  (1530,3993)  (1328,3942)  (1328,3892)  (1378,3892)  (1552,4093)  (1578,3845)  (1427,4142)  (1280,4043)  (1280,3993)  (1579,4043)  (1377,4143)  (1327,4143)  (1279,4093)  (1428,3843)  (1478,3843)  (1528,3843)  (1580,3895)  (1580,3945)  (1278,3943)  (1338,3842)  (1277,4145)  (1578,3795)  (1628,3795)  (1628,3845)  (1230,4043)  (1629,3995)  (1372,4193)  (1229,4095)  (1388,3793)  (1438,3793)  (1488,3793)  (1630,3895)  (1630,3945)  | overflowToLeft=false
SZ28  (915,4154)  (865,4203)  (865,4153)  (964,4204)  (915,4104)  (965,4104)  (965,4154)  (863,4103)  (914,4253)  (864,4253)  (815,4203)  (815,4153)  (1014,4204)  (998,4254)  (814,4254)  (913,4054)  (963,4054)  (1013,4054)  (1015,4104)  (1015,4154)  (813,4103)  (813,4053)  (863,4053)  (1063,4006)  (948,4303)  (898,4303)  (765,4204)  (765,4154)  (848,4304)  (798,4304)  (764,4254)  (913,4004)  (963,4004)  (1013,4004)  (1065,4056)  (1065,4106)  (763,4104)  (763,4054)  (769,4003)  (819,4003)  (748,4320)  (1063,3956)  (1113,3956)  (1113,4006)  (965,4353)  (915,4353)  (715,4204)  (715,4154)  (865,4354)  (815,4354)  (714,4270)  | overflowToLeft=false
Plaguewood  (4833,3759)  (4783,3808)  (4783,3758)  (4882,3809)  (4833,3709)  (4883,3709)  (4883,3759)  (4733,3814)  (4733,3764)  (4932,3809)  (4933,3724)  (4683,3811)  (4683,3761)  (4633,3787)  (4633,3737)  (4583,3785)  | overflowToLeft=false
Northfold Manor  (3931,5872)  (3967,5922)  (3917,5922)  (3885,5822)  (3935,5822)  (3981,5872)  (3985,5818)  (3896,5972)  (3864,5772)  (3914,5772)  | overflowToLeft=false
SZ27  (616,3940)  (566,3989)  (566,3939)  (665,3990)  (616,3890)  (666,3890)  (666,3940)  (564,3889)  (615,4039)  (565,4039)  (516,3989)  (516,3939)  (680,4040)  (515,4040)  (614,3840)  (664,3840)  (714,3840)  (716,3890)  (716,3940)  (514,3889)  (514,3839)  (564,3839)  (764,3792)  (630,4089)  (580,4089)  (466,3990)  (466,3940)  (530,4090)  (480,4090)  (465,4040)  (614,3790)  (664,3790)  (714,3790)  (464,3890)  (464,3840)  (464,3790)  (514,3789)  (564,3789)  (430,4125)  (764,3742)  (641,4139)  (591,4139)  (416,3990)  (416,3940)  (541,4140)  (491,4140)  (415,4075)  (415,3740)  (614,3740)  (664,3740)  (714,3740)  | overflowToLeft=false
SZ26  (433,4906)  (383,4955)  (383,4905)  (482,4956)  (433,4856)  (483,4856)  (483,4906)  (381,4855)  (432,5005)  (382,5005)  (333,4955)  (333,4905)  (532,4956)  (532,5006)  (482,5006)  (332,5006)  (431,4806)  (331,4855)  (331,4805)  (381,4805)  (432,5055)  (382,5055)  (283,4956)  (283,4906)  (582,5014)  (532,5056)  (482,5056)  (332,5056)  (282,5056)  (282,5006)  (281,4856)  (281,4806)  (281,4756)  (331,4755)  (381,4755)  (590,5064)  (432,5105)  (382,5105)  (233,4956)  (233,4906)  (540,5106)  (490,5106)  (332,5106)  (282,5106)  (232,5106)  (232,5056)  (232,5006)  (232,4706)  (231,4856)  (231,4806)  (231,4756)  | overflowToLeft=false
SZ25  (1109,5196)  (1059,5245)  (1059,5195)  (1158,5246)  (1109,5146)  (1159,5146)  (1159,5196)  (1057,5145)  (1108,5295)  (1058,5295)  (1009,5245)  (1009,5195)  (1208,5246)  (1208,5296)  (1158,5296)  (1008,5296)  (1107,5096)  (1157,5096)  (1207,5096)  (1209,5146)  (1209,5196)  (1007,5145)  (1007,5095)  (1057,5095)  (1257,5048)  (1108,5345)  (1058,5345)  (959,5246)  (959,5196)  (1258,5246)  (1258,5296)  (1258,5346)  (1208,5346)  (1158,5346)  (1008,5346)  (958,5346)  (958,5296)  (1107,5046)  (1157,5046)  (1207,5046)  (1259,5098)  (1259,5148)  (957,5146)  (957,5096)  (957,5046)  (1007,5045)  (1057,5045)  (1257,4998)  (1108,5395)  (1058,5395)  (909,5246)  (909,5196)  | overflowToLeft=false
Gunther's Retreat  (2909,4056)  | overflowToLeft=false
Circle of Inner Binding  (4005,6267)  (4054,6317)  (4004,6317)  (3966,6217)  (4016,6217)  (4055,6267)  (4104,6334)  | overflowToLeft=false
SZ24  (1551,5054)  (1501,5103)  (1501,5053)  (1600,5104)  (1551,5004)  (1601,5004)  (1601,5054)  (1499,5003)  (1550,5153)  (1500,5153)  (1451,5103)  (1451,5053)  (1650,5104)  (1650,5154)  (1600,5154)  (1450,5154)  (1549,4954)  (1599,4954)  (1649,4954)  (1651,5004)  (1651,5054)  (1449,5003)  (1449,4953)  (1499,4953)  (1699,4906)  (1550,5203)  (1500,5203)  (1401,5084)  (1700,5104)  (1700,5154)  (1700,5204)  (1650,5204)  (1600,5204)  (1549,4904)  (1599,4904)  (1649,4904)  (1701,4956)  (1701,5006)  (1399,5034)  (1399,4984)  (1399,4934)  (1449,4903)  (1499,4903)  (1380,4884)  (1699,4856)  (1749,4856)  (1749,4906)  (1550,5253)  (1500,5253)  (1750,5056)  (1750,5106)  (1750,5156)  (1750,5206)  | overflowToLeft=false
Farson Hold  (928,6153)  (794,6115)  (861,6088)  | overflowToLeft=false
SZ23  (1760,5464)  (1710,5513)  (1710,5463)  (1809,5514)  (1760,5414)  (1810,5414)  (1810,5464)  (1708,5413)  (1759,5563)  (1660,5476)  (1859,5514)  (1859,5564)  (1809,5564)  (1758,5364)  (1808,5364)  (1860,5409)  (1860,5459)  (1658,5426)  (1658,5376)  (1708,5363)  (1647,5326)  (1909,5509)  (1909,5559)  (1909,5609)  (1859,5614)  (1809,5614)  (1758,5314)  (1808,5314)  (1608,5418)  (1697,5313)  (1597,5368)  (1912,5659)  | overflowToLeft=false
Lordamere Internment Camp  (2805,5496)  (2755,5512)  (2755,5462)  (2805,5446)  (2855,5503)  (2855,5426)  (2705,5478)  | overflowToLeft=false
New Avalon  (5972,4575)  (5922,4624)  (5922,4574)  (6021,4625)  (5972,4525)  (6022,4525)  (6022,4575)  (5920,4524)  (5971,4674)  (5921,4674)  (6043,4675)  (5974,4475)  (6024,4475)  (6072,4525)  (6072,4575)  (5870,4554)  (5870,4504)  | overflowToLeft=false
Lordamere Lake  (2658,4924)  (2608,4973)  (2608,4923)  (2707,4974)  (2658,4874)  (2708,4874)  (2708,4924)  (2606,4873)  (2657,5023)  (2607,5023)  (2558,4973)  (2558,4923)  (2757,4974)  (2757,5024)  (2707,5024)  (2557,5024)  (2656,4824)  (2706,4824)  (2756,4824)  (2758,4874)  (2758,4924)  (2556,4873)  (2556,4823)  (2606,4823)  (2806,4776)  (2657,5073)  (2607,5073)  (2508,4974)  (2508,4924)  (2807,4974)  (2807,5024)  (2742,5074)  (2557,5074)  (2507,5074)  (2507,5024)  (2656,4774)  (2706,4774)  (2756,4774)  (2808,4826)  (2808,4876)  (2506,4874)  (2506,4824)  (2506,4774)  (2556,4773)  (2606,4773)  (2806,4726)  (2856,4726)  (2856,4776)  (2649,5123)  (2458,4974)  (2458,4924)  | overflowToLeft=false
Silverpine Forest  (2253,5468)  (2203,5517)  (2203,5431)  (2264,5518)  (2303,5430)  (2314,5480)  (2216,5381)  | overflowToLeft=false
Purgation Isle  (2633,6186)  (2701,6136)  | overflowToLeft=false
Sanctum of the Sun  (5289,2963)  (5344,2963)  (5292,3019)  (5345,3070)  (5355,3018)  | overflowToLeft=false
Duskhaven  (1655,6371)  (1605,6420)  (1605,6370)  (1704,6421)  (1705,6324)  (1608,6320)  (1754,6444)  (1755,6328)  | overflowToLeft=false
Infectis Scar  (5102,4339)  (5164,4320)  (5056,4272)  (5114,4269)  (5180,4257)  (5251,4232)  (5182,4193)  (5115,4193)  (5055,4208)  | overflowToLeft=false
Shadra'Alor  (4375,5650)  (4429,5629)  (4482,5603)  (4368,5597)  (4424,5567)  | overflowToLeft=false
Upland Mountains  (3380,4840)  (3330,4793)  (3429,4890)  (3282,4743)  (3332,4743)  (3479,4917)  (3506,4967)  (3232,4772)  (3232,4722)  (3551,4917)  (3556,4967)  (3556,5017)  (3506,5017)  (3182,4756)  (3182,4706)  (3606,4960)  (3132,4751)  | overflowToLeft=false
Windrunner Village  (4678,2926)  (4727,2976)  (4646,2876)  (4696,2876)  (4728,2926)  (4777,2976)  (4778,2905)  | overflowToLeft=false
SZ11  (5667,5781)  (5617,5830)  (5617,5780)  (5716,5831)  (5667,5731)  (5717,5731)  (5717,5781)  (5615,5730)  (5666,5880)  (5616,5880)  (5567,5830)  (5567,5780)  (5766,5831)  (5766,5881)  (5716,5881)  (5566,5881)  (5665,5681)  (5715,5681)  (5765,5681)  (5767,5731)  (5767,5781)  (5565,5730)  (5565,5680)  (5615,5680)  (5815,5633)  (5666,5930)  (5616,5930)  (5517,5831)  (5517,5781)  (5816,5831)  (5816,5881)  (5816,5931)  (5766,5931)  (5716,5931)  (5566,5931)  (5516,5931)  (5516,5881)  (5665,5631)  (5715,5631)  (5765,5631)  (5817,5683)  (5817,5733)  (5515,5731)  (5515,5681)  (5515,5631)  (5565,5630)  (5615,5630)  (5815,5583)  (5865,5610)  (5666,5980)  (5616,5980)  (5467,5831)  (5467,5781)  | overflowToLeft=false
Strahnbrad  (3376,4994)  (3432,5004)  (3390,5060)  | overflowToLeft=false
SZ10  (6299,5779)  (6249,5828)  (6249,5778)  (6348,5829)  (6299,5729)  (6349,5729)  (6349,5779)  (6247,5728)  (6298,5878)  (6248,5878)  (6199,5828)  (6199,5778)  (6393,5879)  (6198,5879)  (6297,5679)  (6347,5679)  (6197,5728)  (6213,5678)  (6343,5928)  (6293,5928)  (6149,5829)  (6149,5779)  (6393,5929)  (6243,5929)  (6193,5929)  (6148,5879)  (6263,5629)  (6313,5629)  (6363,5629)  (6143,5934)  (6343,5978)  (6293,5978)  (6393,5979)  (6243,5979)  (6193,5979)  (6098,5884)  (6098,5834)  (6285,5579)  (6335,5579)  (6385,5579)  (6143,5984)  (6093,5984)  (6093,5934)  (6343,6028)  (6293,6028)  (6393,6029)  (6243,6029)  (6193,6029)  (6321,5529)  (6371,5529)  (6143,6034)  (6093,6034)  (6043,6034)  (6043,5984)  (6043,5934)  | overflowToLeft=false
Amani Peaks  (5908,3707)  (5858,3756)  (5858,3706)  (5957,3757)  (5908,3657)  (5958,3657)  (5958,3707)  (5856,3656)  (5907,3806)  (5857,3806)  (5808,3756)  (5808,3706)  (6007,3757)  (6007,3807)  (5957,3807)  (5807,3807)  (5906,3607)  (5956,3607)  (6006,3607)  (6008,3657)  (6008,3707)  (5806,3656)  (5806,3606)  (5856,3606)  (6056,3604)  (5758,3757)  (5758,3707)  (6057,3757)  (6057,3807)  (6058,3654)  (6058,3704)  (5756,3657)  (5756,3607)  (5708,3795)  (5708,3745)  (6107,3754)  (6107,3804)  (6108,3607)  (6108,3657)  (5706,3695)  (5706,3645)  (5666,3595)  (5658,3802)  (5658,3752)  (6157,3707)  (6157,3757)  (6157,3807)  (6158,3590)  (6158,3640)  (5656,3702)  (5656,3652)  | overflowToLeft=false
Sunwell Plateau  (5223,636)  (5242,686)  (5231,586)  (5281,558)  | overflowToLeft=false
Refuge Pointe  (4156,6059)  (4208,6059)  (4260,6056)  (4154,6112)  (4207,6113)  (4259,6114)  | overflowToLeft=false
Felstone Field  (3422,4485)  (3478,4469)  (3532,4461)  (3429,4535)  (3491,4524)  | overflowToLeft=false
Dwarf Farm  (5087,6351)  (5078,6401)  (5081,6301)  | overflowToLeft=false
SZ19  (2560,6571)  (2510,6620)  (2510,6570)  (2609,6621)  (2560,6521)  (2610,6521)  (2610,6571)  (2508,6520)  (2460,6663)  (2460,6613)  (2659,6621)  (2558,6471)  (2608,6471)  (2658,6471)  (2660,6521)  (2660,6571)  (2458,6563)  (2458,6513)  (2708,6423)  (2410,6663)  (2410,6613)  (2709,6621)  (2513,6421)  (2563,6421)  (2613,6421)  (2710,6473)  (2710,6523)  (2408,6563)  (2408,6513)  (2663,6373)  (2713,6373)  (2758,6423)  (2360,6663)  (2360,6613)  (2759,6573)  (2759,6623)  (2500,6371)  (2550,6371)  (2600,6371)  (2760,6473)  (2760,6523)  (2358,6563)  (2358,6513)  (2310,6663)  (2310,6613)  (2809,6573)  (2809,6623)  (2503,6321)  (2553,6321)  (2603,6321)  (2810,6435)  (2810,6485)  | overflowToLeft=false
SZ18  (3091,6605)  (3041,6654)  (3041,6604)  (3140,6655)  (3091,6555)  (3141,6555)  (3141,6605)  (3039,6554)  (2991,6663)  (2991,6613)  (3190,6655)  (3089,6505)  (3139,6505)  (3189,6505)  (3191,6555)  (3191,6605)  (2989,6563)  (2989,6513)  (3039,6504)  (2972,6463)  (3239,6457)  (2941,6663)  (2941,6613)  (3240,6655)  (3089,6455)  (3139,6455)  (3189,6455)  (3241,6507)  (3241,6557)  (3022,6454)  (3239,6407)  (3289,6407)  (3289,6457)  (3290,6607)  (3290,6657)  (3072,6405)  (3122,6405)  (3172,6405)  (3291,6507)  (3291,6557)  (2984,6404)  (3339,6402)  (3339,6452)  (3340,6607)  (3340,6657)  (3034,6355)  (3084,6355)  (3134,6355)  (3184,6355)  (3341,6502)  (3341,6552)  | overflowToLeft=false
Pyrewood Village  (2042,5589)  (2091,5639)  (2041,5639)  (2141,5593)  (2141,5643)  | overflowToLeft=false
SZ17  (2902,6156)  (2852,6205)  (2852,6155)  (2951,6206)  (2902,6106)  (2952,6106)  (2952,6156)  (2850,6105)  (2901,6255)  (2851,6255)  (2802,6205)  (2802,6155)  (3001,6206)  (2801,6256)  (2900,6056)  (2950,6056)  (3000,6056)  (3002,6106)  (3002,6156)  (2800,6105)  (2850,6055)  (2771,6055)  (3050,6010)  (2940,6305)  (2890,6305)  (2752,6206)  (2752,6156)  (3051,6206)  (2840,6306)  (2790,6306)  (2751,6256)  (3052,6060)  (3052,6110)  (2750,6106)  (2721,6056)  (3100,5988)  (2929,6355)  (2702,6206)  (2702,6156)  (2879,6356)  (2829,6356)  (2701,6278)  (2700,6106)  (2694,6006)  (2681,5956)  (2671,6056)  (2652,6228)  (2652,6178)  (2919,6406)  (2650,6128)  (2644,6006)  | overflowToLeft=false
Dawning Lane  (5062,1562)  (5235,1567)  (5298,1487)  (5304,1537)  (5354,1540)  (5116,1568)  (5178,1580)  | overflowToLeft=false
SZ16  (3271,6159)  (3221,6208)  (3221,6158)  (3320,6209)  (3271,6109)  (3321,6109)  (3321,6159)  (3219,6108)  (3270,6258)  (3220,6258)  (3171,6208)  (3171,6158)  (3370,6209)  (3370,6259)  (3320,6259)  (3170,6259)  (3269,6059)  (3371,6107)  (3371,6157)  (3169,6108)  (3169,6058)  (3219,6058)  (3270,6308)  (3420,6211)  (3322,6309)  (3269,6009)  (3165,6008)  (3215,6008)  (3173,5958)  (3223,5958)  | overflowToLeft=false
Crusader's Square  (3225,694)  (3285,693)  (3263,748)  (3323,748)  (3288,804)  | overflowToLeft=false
North Darrowmere River  (3601,5230)  | overflowToLeft=false
SZ15  (3535,6365)  (3485,6377)  (3485,6327)  (3584,6415)  (3585,6332)  (3534,6427)  (3435,6362)  (3435,6312)  (3634,6442)  (3584,6465)  (3534,6477)  (3684,6446)  | overflowToLeft=false
The Scarlet Bastion  (3207,774)  (3149,764)  (3199,829)  (3131,826)  (3087,885)  | overflowToLeft=false
The Shining Strand  (2442,4685)  (2576,4632)  (2512,4685)  | overflowToLeft=false
SZ14  (3636,6627)  (3586,6663)  (3586,6613)  (3636,6577)  (3686,6577)  (3686,6627)  (3571,6563)  (3536,6663)  (3536,6613)  (3736,6577)  (3736,6627)  (3521,6563)  (3786,6644)  (3836,6649)  | overflowToLeft=false
Brill  (2697,4173)  (2647,4222)  (2647,4172)  (2746,4223)  (2697,4123)  (2747,4172)  (2747,4079)  (2696,4272)  (2750,4273)  | overflowToLeft=false
SZ13  (4472,6663)  | overflowToLeft=false
SZ12  (5422,6561)  (5372,6610)  (5372,6560)  (5471,6611)  (5422,6511)  (5472,6511)  (5472,6561)  (5370,6510)  (5421,6660)  (5371,6660)  (5322,6610)  (5322,6560)  (5521,6611)  (5521,6661)  (5471,6661)  (5321,6661)  (5420,6461)  (5470,6461)  (5520,6461)  (5522,6511)  (5522,6561)  (5320,6510)  (5320,6460)  (5370,6460)  (5570,6431)  (5272,6611)  (5272,6561)  (5571,6611)  (5571,6661)  (5271,6663)  (5420,6411)  (5470,6411)  (5520,6411)  (5572,6481)  (5572,6531)  (5270,6511)  (5270,6461)  (5270,6411)  (5320,6410)  (5370,6410)  (5222,6613)  (5222,6563)  (5621,6581)  (5621,6631)  (5221,6663)  (5221,6361)  (5420,6361)  (5470,6361)  (5622,6482)  (5220,6513)  (5220,6463)  (5220,6413)  | overflowToLeft=false
Boulderfist Hall  (4321,6476)  (4271,6507)  (4271,6457)  (4371,6448)  (4421,6441)  | overflowToLeft=false
Maisara Hills  (5818,2294)  (5861,2344)  (5811,2344)  (5804,2244)  (5868,2282)  (5851,2394)  (5801,2394)  (5791,2194)  (5833,2444)  (5746,2144)  (5796,2144)  (5695,2136)  (5846,2122)  (5827,2494)  (5828,2072)  (5878,2072)  (5777,2540)  (5827,2544)  (5815,2022)  (5865,2022)  | overflowToLeft=false
Nethander Stead  (3426,5885)  (3376,5888)  (3475,5935)  (3476,5863)  (3343,5838)  (3526,5873)  | overflowToLeft=false
Azurebreeze Coast  (5680,1843)  (5630,1888)  (5672,1793)  (5722,1793)  (5730,1867)  | overflowToLeft=false
Blackwood Lake  (5076,4100)  (5096,4031)  (5150,4109)  (5215,4116)  (5279,4115)  (5283,4056)  (5222,4053)  (5164,4037)  (5248,3993)  (5185,3982)  (5123,3969)  (5037,4011)  (5062,3957)  (5035,3902)  (5109,3915)  (5189,3931)  | overflowToLeft=false
Sunwell Wall  (5146,822)  | overflowToLeft=false
Agamand Hills  (2392,3793)  (2524,3772)  (2342,3796)  (2574,3775)  (2588,3920)  (2281,3944)  (2554,3970)  (2527,4020)  | overflowToLeft=false
Sanctum of the Moon  (4886,2903)  (4936,2876)  (4936,2926)  | overflowToLeft=false
Headlands  (1624,5981)  (1574,6030)  (1574,5980)  (1673,6031)  (1624,5931)  (1674,5931)  (1674,5981)  (1723,6031)  (1608,5881)  (1658,5881)  | overflowToLeft=false
SZ44  (3374,1618)  (3324,1667)  (3324,1617)  (3423,1668)  (3374,1568)  (3424,1568)  (3424,1618)  (3322,1567)  (3373,1717)  (3323,1717)  (3274,1667)  (3274,1617)  (3473,1668)  (3473,1718)  (3423,1718)  (3273,1718)  (3372,1518)  (3422,1518)  (3472,1518)  (3474,1568)  (3474,1618)  (3272,1567)  (3272,1517)  (3322,1517)  (3522,1470)  (3373,1767)  (3323,1767)  (3224,1668)  (3224,1618)  (3523,1668)  (3523,1718)  (3523,1768)  (3473,1768)  (3423,1768)  (3273,1768)  (3223,1768)  (3223,1718)  (3372,1468)  (3422,1468)  (3472,1468)  (3524,1520)  (3524,1570)  (3222,1568)  (3222,1518)  (3222,1468)  (3272,1467)  (3322,1467)  (3522,1420)  (3572,1420)  (3572,1470)  (3373,1817)  (3323,1817)  (3174,1668)  (3174,1618)  | overflowToLeft=false
Tide's Run Mountains  (1937,5231)  (1974,5281)  (1924,5281)  (1924,5181)  (1987,5331)  (1937,5331)  (1923,5131)  (2030,5381)  (1980,5381)  (1930,5381)  (1922,5081)  (2093,5388)  (1944,5031)  (2009,5007)  | overflowToLeft=false
SZ43  (4284,2142)  (4234,2191)  (4234,2141)  (4333,2192)  (4284,2092)  (4334,2092)  (4334,2142)  (4232,2091)  (4283,2241)  (4233,2241)  (4184,2191)  (4184,2141)  (4383,2192)  (4383,2242)  (4333,2242)  (4183,2242)  (4282,2042)  (4332,2042)  (4382,2042)  (4384,2092)  (4384,2142)  (4182,2091)  (4182,2041)  (4232,2041)  (4432,1994)  (4283,2291)  (4233,2291)  (4134,2192)  (4134,2142)  (4433,2192)  (4433,2242)  (4433,2292)  (4383,2292)  (4333,2292)  (4183,2292)  (4133,2292)  (4133,2242)  (4282,1992)  (4332,1992)  (4382,1992)  (4434,2044)  (4434,2094)  (4132,2092)  (4132,2042)  (4132,1992)  (4182,1991)  (4232,1991)  (4432,1944)  (4482,1944)  (4482,1994)  (4283,2341)  (4233,2341)  (4084,2192)  (4084,2142)  | overflowToLeft=false
SZ42  (3911,2731)  (3861,2780)  (3861,2730)  (3960,2781)  (3911,2681)  (3961,2681)  (3961,2731)  (3859,2680)  (3910,2830)  (3860,2830)  (3811,2780)  (3811,2730)  (4010,2781)  (4010,2831)  (3960,2831)  (3810,2831)  (3909,2631)  (3959,2631)  (4009,2631)  (4011,2681)  (4011,2731)  (3809,2680)  (3809,2630)  (3859,2630)  (4059,2583)  (3910,2880)  (3860,2880)  (3761,2781)  (3761,2731)  (4060,2781)  (4060,2831)  (4060,2881)  (4010,2881)  (3960,2881)  (3810,2881)  (3760,2881)  (3760,2831)  (3909,2581)  (3959,2581)  (4009,2581)  (4061,2633)  (4061,2683)  (3759,2681)  (3759,2631)  (3759,2581)  (3809,2580)  (3859,2580)  (4059,2533)  (4109,2533)  (4109,2583)  (3910,2930)  (3860,2930)  (3711,2781)  (3711,2731)  | overflowToLeft=false
SZ41  (4499,2746)  (4449,2795)  (4449,2745)  (4545,2796)  (4499,2696)  (4549,2696)  (4447,2695)  (4495,2845)  (4445,2845)  (4399,2795)  (4399,2745)  (4497,2646)  (4547,2646)  (4597,2646)  (4397,2695)  (4420,2645)  (4395,2849)  (4647,2598)  (4647,2648)  (4349,2799)  (4470,2596)  (4520,2596)  (4570,2596)  (4370,2899)  (4345,2849)  (4320,2914)  (4623,2548)  (4673,2548)  | overflowToLeft=false
SZ40  (4354,3143)  (4304,3192)  (4304,3142)  (4403,3193)  (4354,3093)  (4404,3093)  (4404,3143)  (4302,3092)  (4353,3242)  (4303,3242)  (4254,3192)  (4254,3142)  (4453,3193)  (4253,3243)  (4352,3043)  (4402,3043)  (4452,3043)  (4454,3093)  (4454,3143)  (4252,3092)  (4252,3042)  (4302,3042)  (4502,2995)  (4204,3193)  (4204,3143)  (4503,3193)  (4250,3293)  (4203,3243)  (4352,2993)  (4402,2993)  (4452,2993)  (4504,3045)  (4504,3095)  (4202,3093)  (4202,3043)  (4300,2992)  (4200,3296)  (4502,2945)  (4552,2945)  (4552,2995)  (4154,3193)  (4154,3143)  (4553,3145)  (4553,3195)  (4153,3246)  (4554,3045)  (4554,3095)  (4152,3093)  (4152,3043)  (4217,3346)  (4167,3346)  (4150,3296)  | overflowToLeft=false
Tol Barad  (1037,6415)  (987,6464)  (987,6414)  (1086,6465)  (1037,6365)  (1087,6365)  (1087,6415)  (985,6364)  (1036,6514)  (986,6514)  (937,6464)  (937,6414)  (1136,6465)  (1107,6515)  (936,6515)  (1035,6315)  (1137,6343)  (1137,6393)  (935,6364)  (921,6314)  (1187,6359)  (885,6366)  | overflowToLeft=false
