Great Fissure  (465,13018)  (415,13044)  (415,12994)  (515,12984)  (515,13034)  | overflowToLeft=false
Draco'dar  (3605,9799)  (3555,9848)  (3555,9798)  (3654,9849)  (3605,9749)  (3655,9749)  (3655,9799)  (3553,9748)  (3604,9898)  (3554,9898)  (3504,9892)  (3603,9699)  (3653,9699)  (3703,9699)  (3705,9749)  (3705,9799)  (3664,9948)  (3614,9948)  (3564,9948)  | overflowToLeft=false
Loch Bank  (4823,7997)  (4849,8047)  | overflowToLeft=false
Shatter Point  (1227,12734)  (1270,12684)  | overflowToLeft=false
Mosh'Ogg Ogre Mound  (3335,11967)  (3285,12016)  (3285,11966)  (3384,12017)  (3335,11917)  (3385,11951)  (3319,11867)  (3369,11867)  | overflowToLeft=false
Thelsamar  (4477,8251)  (4427,8300)  (4427,8250)  (4523,8301)  (4477,8201)  | overflowToLeft=false
Greystone Keep  (1640,8660)  (1588,8685)  (1567,8742)  (1637,8718)  (1692,8709)  (1738,8757)  (1703,8639)  | overflowToLeft=false
Serpent's Coil  (4645,11463)  (4655,11513)  (4652,11398)  | overflowToLeft=false
Arathi Highlands  (4486,6044)  (4541,6041)  (4597,6043)  (4488,6100)  (4545,6101)  (4600,6103)  (4668,6079)  (4601,6163)  (4658,6135)  | overflowToLeft=false
The Furnace  (2617,836)  (2602,786)  (2529,866)  | overflowToLeft=false
Freehold  (1536,9326)  (1524,9252)  (1650,9297)  (1639,9237)  (1584,9207)  (1735,9287)  (1699,9219)  (1772,9196)  (1713,9166)  (1660,9145)  | overflowToLeft=false
Dragon's Mouth  (4968,8902)  (4918,8907)  (4977,8952)  | overflowToLeft=false
Zeb'Nowa  (5532,3161)  (5482,3210)  (5482,3160)  (5581,3211)  (5532,3111)  (5582,3111)  (5582,3161)  (5432,3249)  (5432,3199)  (5495,3061)  (5545,3061)  (5595,3061)  (5632,3121)  (5632,3171)  (5682,3127)  (5682,3177)  | overflowToLeft=false
North Dead Scar  (5238,1714)  (5233,1846)  (5224,1960)  (5225,2025)  | overflowToLeft=false
Tranquil Shore  (4700,2031)  (4716,2081)  (4708,1981)  | overflowToLeft=false
Thorium Point  (3307,8788)  (3257,8793)  (3289,8738)  (3357,8814)  | overflowToLeft=false
Blackrock Pass  (4560,9880)  (4510,9927)  (4510,9877)  (4609,9930)  (4560,9830)  (4610,9830)  (4610,9880)  (4506,9827)  (4460,9928)  (4460,9878)  (4625,9980)  (4660,9821)  (4660,9871)  (4456,9828)  (4629,10030)  (4602,10080)  | overflowToLeft=false
Diamondhead River  (3867,11012)  | overflowToLeft=false
Aerie Peak  (3957,5229)  (3920,5289)  (3976,5289)  (4047,5268)  | overflowToLeft=false
Greymane Wall  (2177,5856)  | overflowToLeft=false
Windshorn Hills  (1366,7921)  (1312,7922)  (1280,7869)  (1332,7870)  (1384,7870)  | overflowToLeft=false
Shalandis Isle  (4598,2741)  (4652,2744)  (4620,2796)  | overflowToLeft=false
Highbank  (6166,7870)  (6230,7878)  (6157,7931)  (6224,7932)  | overflowToLeft=false
Silvermoon Mountains  (4870,1826)  (4900,1876)  (4852,1776)  (4890,1926)  | overflowToLeft=false
Stonewrought Pass  (3936,8751)  (3946,8701)  (3911,8803)  (3861,8834)  (3949,8651)  (3999,8642)  | overflowToLeft=false
Tainted Mountains  (4005,12151)  (4003,12078)  (4006,11998)  (4006,11907)  (4013,11836)  (4004,11770)  (3997,11675)  (3933,12084)  (3926,12157)  (3956,12229)  (4028,12271)  (4025,12221)  (4075,12163)  (4103,12224)  (4156,12193)  | overflowToLeft=false
The Scorched Grove  (4861,2504)  (4811,2511)  (4811,2461)  (4879,2454)  (4911,2504)  (4854,2561)  (4929,2444)  (4761,2502)  (4961,2494)  | overflowToLeft=false
King's Square  (3647,1135)  (3645,1066)  (3652,995)  (3522,1042)  (3550,976)  (3563,889)  (3602,946)  (3710,957)  | overflowToLeft=false
South Stonewrought River  (4514,7634)  (4536,7684)  (4305,7230)  | overflowToLeft=false
Blackrock Path  (3472,9541)  (3422,9590)  (3422,9540)  (3521,9591)  (3472,9491)  (3522,9491)  (3522,9541)  (3420,9490)  (3372,9594)  (3372,9544)  (3571,9591)  (3572,9476)  (3572,9526)  (3370,9494)  | overflowToLeft=false
Saldean's Farm  (2285,10819)  (2235,10845)  (2235,10795)  (2334,10869)  (2295,10769)  (2335,10819)  (2345,10759)  | overflowToLeft=false
Farstrider Enclave  (5522,2755)  (5469,2782)  (5539,2876)  (5536,2819)  (5596,2851)  | overflowToLeft=false
Lake Everstill  (4243,10416)  (4193,10439)  (4193,10389)  (4275,10466)  (4293,10416)  (4181,10339)  | overflowToLeft=false
Northshire Vineyards  (3081,10196)  (3031,10226)  (3077,10146)  (3127,10136)  (3083,10086)  | overflowToLeft=false
North Tide's Run  (1958,4897)  (1908,4898)  (2008,4901)  | overflowToLeft=false
Eastvale Logging Camp  (3618,10416)  (3568,10465)  (3568,10415)  (3667,10466)  (3618,10366)  (3668,10366)  (3668,10416)  (3566,10365)  (3718,10364)  (3516,10408)  (3516,10358)  | overflowToLeft=false
Wild Shore  (2749,13111)  (2699,13160)  (2789,13061)  (2649,13163)  (2810,13011)  (2816,12961)  (2866,12935)  | overflowToLeft=false
Silverpine Road  (2384,5684)  (2434,5683)  (2317,5674)  (2252,5613)  (2554,5700)  | overflowToLeft=false
River Arevass  (2088,4938)  | overflowToLeft=false
Keel Harbour  (1796,6094)  (1846,6106)  (1875,6172)  (1925,6170)  | overflowToLeft=false
Uldaman Mountains  (4255,8740)  (4205,8789)  (4205,8739)  (4304,8790)  (4255,8690)  (4305,8690)  (4305,8740)  (4203,8689)  (4254,8839)  (4204,8839)  (4155,8789)  (4155,8739)  (4354,8790)  (4154,8840)  (4276,8640)  (4326,8640)  (4355,8690)  (4355,8740)  (4153,8689)  (4376,8628)  (4105,8790)  (4105,8740)  (4404,8790)  (4104,8840)  (4299,8590)  (4405,8678)  (4405,8728)  (4103,8690)  (4055,8790)  (4055,8740)  (4454,8778)  (4332,8540)  (4455,8668)  (4455,8718)  (4005,8837)  (4005,8787)  (4624,8694)  | overflowToLeft=false
Zeth'Gor  (1161,13165)  | overflowToLeft=false
Moonbrook  (2050,11223)  (2000,11270)  (2000,11220)  (2099,11273)  (2074,11173)  (2100,11223)  | overflowToLeft=false
Slither Rock  (4883,9454)  (4833,9503)  (4932,9504)  (4844,9404)  (4894,9404)  (4933,9454)  (4944,9402)  (4882,9553)  (4832,9553)  (4953,9554)  (4782,9354)  (4832,9354)  (4882,9354)  (4994,9402)  (4732,9360)  (4732,9310)  (4682,9362)  (4682,9312)  (4632,9380)  (4632,9330)  | overflowToLeft=false
Thrallmar  (914,12660)  (855,12661)  (841,12720)  (897,12721)  (949,12748)  (961,12700)  | overflowToLeft=false
Ironwing Cavern  (5057,8224)  (5079,8274)  (5042,8174)  (5048,8124)  | overflowToLeft=false
Bloodwash Hill  (4939,11665)  (4885,11688)  (4841,11742)  (4891,11747)  (4942,11730)  (4836,11803)  (4888,11811)  (4939,11794)  | overflowToLeft=false
Angor Fortress  (4562,8822)  (4548,8772)  | overflowToLeft=false
Faldir's Cove  (3979,6508)  (3924,6522)  (3855,6556)  (3801,6578)  | overflowToLeft=false
North Sea 10  (4644,2564)  (4624,2626)  (4549,2671)  (4498,2757)  (4538,2835)  (4430,2862)  (4418,2794)  (4428,2722)  (4484,2657)  (4569,2577)  (4488,2597)  (4341,2870)  | overflowToLeft=false
The Lost Estate  (1658,7881)  (1710,7900)  (1719,7844)  (1778,7882)  | overflowToLeft=false
Bluegill Marsh  (3469,7115)  (3419,7136)  (3519,7093)  (3569,7114)  | overflowToLeft=false
North Sea 11  (4500,3181)  (4415,3196)  (4330,3229)  (4299,3143)  (4374,3126)  (4438,3096)  (4514,3095)  (4530,2999)  (4447,3002)  (4362,3031)  (4289,3074)  (4199,3090)  (4220,3177)  (4254,3249)  | overflowToLeft=false
North Sea 12  (3926,2764)  (4014,2763)  (4016,2688)  (3922,2660)  (3813,2687)  (3821,2786)  (3841,2871)  (3937,2843)  (4051,2878)  (4115,2795)  (4131,2713)  (4013,2568)  (4116,2611)  (3776,2592)  (3938,2568)  (3725,2695)  (3706,2863)  (3788,2972)  (3944,2967)  | overflowToLeft=false
The Jansen Stead  (2361,10637)  (2410,10687)  (2348,10587)  | overflowToLeft=false
North Sea 13  (3934,3295)  (3898,3385)  (3769,3424)  (3780,3315)  (3871,3278)  (3925,3176)  (3805,3197)  (3709,3250)  (3695,3374)  (3677,3511)  (4040,3307)  (3996,3383)  | overflowToLeft=false
North Sea 14  (2992,2543)  (2942,2592)  (2942,2542)  (3041,2593)  (2992,2493)  (3042,2493)  (3042,2543)  (2940,2492)  (2991,2642)  (2941,2642)  (2892,2592)  (2892,2542)  (3091,2593)  (3091,2643)  (3041,2643)  (2891,2643)  (2990,2443)  (3040,2443)  (3090,2443)  (3092,2493)  (3092,2543)  (2890,2492)  (2890,2442)  (2940,2442)  (3140,2395)  (2991,2692)  (2941,2692)  (2842,2593)  (2842,2543)  (3141,2593)  (3141,2643)  (3141,2693)  (3091,2693)  (3041,2693)  (2891,2693)  (2841,2693)  (2841,2643)  (2990,2393)  (3040,2393)  (3090,2393)  (3142,2445)  (3142,2495)  (2840,2493)  (2928,2392)  (3140,2345)  (3190,2345)  (3190,2395)  (2991,2742)  (2941,2742)  (2792,2593)  (2792,2543)  | overflowToLeft=false
North Sea 15  (3076,3025)  (2957,3028)  (3027,3123)  (3141,3132)  (3226,3090)  (3229,2997)  (3184,2907)  (3085,2905)  (2980,2920)  (2876,2958)  (2907,3109)  (2989,3215)  | overflowToLeft=false
North Sea 16  (3039,3646)  (2943,3660)  (2857,3698)  (2766,3715)  (2660,3698)  (2649,3586)  (2766,3604)  (2954,3549)  (2868,3565)  (3069,3553)  (3155,3638)  (3159,3539)  | overflowToLeft=false
North Sea 17  (1711,3382)  (1661,3431)  (1661,3381)  (1760,3432)  (1711,3332)  (1761,3332)  (1761,3382)  (1659,3331)  (1710,3481)  (1660,3481)  (1611,3431)  (1611,3381)  (1810,3432)  (1810,3482)  (1760,3482)  (1610,3482)  (1709,3282)  (1759,3282)  (1809,3282)  (1811,3332)  (1811,3382)  (1609,3331)  (1609,3281)  (1659,3281)  (1859,3234)  (1710,3531)  (1660,3531)  (1561,3432)  (1561,3382)  (1860,3432)  (1860,3482)  (1860,3532)  (1810,3532)  (1760,3532)  (1610,3532)  (1560,3532)  (1560,3482)  (1709,3232)  (1759,3232)  (1809,3232)  (1861,3284)  (1861,3334)  (1559,3332)  (1559,3282)  (1859,3184)  (1909,3184)  (1909,3234)  (1687,3581)  (1511,3432)  (1511,3382)  (1910,3384)  (1910,3434)  (1910,3484)  | overflowToLeft=false
North Sea 18  (2053,3828)  (1969,3874)  (1843,3897)  (2017,3738)  (1942,3796)  (1852,3810)  (1752,3856)  (1733,3929)  (1958,3682)  (1830,3720)  (1712,3788)  (1632,3892)  | overflowToLeft=false
Northern Rampart  (723,12724)  (673,12757)  (773,12694)  (773,12744)  | overflowToLeft=false
South Badlands Range  (5220,9216)  (5170,9265)  (5170,9215)  (5269,9266)  (5220,9166)  (5270,9166)  (5270,9216)  (5168,9165)  (5219,9315)  (5169,9315)  (5120,9265)  (5120,9215)  (5319,9266)  (5319,9316)  (5269,9316)  (5119,9316)  (5218,9116)  (5268,9116)  (5318,9116)  (5320,9166)  (5320,9216)  (5118,9165)  (5368,9068)  (5219,9365)  (5169,9365)  (5070,9266)  (5070,9216)  (5369,9266)  (5283,9366)  (5119,9366)  (5069,9351)  (5182,9066)  (5232,9066)  (5282,9066)  (5370,9118)  (5370,9168)  (5068,9166)  (5332,9018)  (5382,9018)  (5418,9068)  (5218,9415)  (5020,9301)  (5020,9251)  (5168,9416)  (5118,9416)  (5185,9016)  (5235,9016)  (5420,9118)  (5420,9168)  (5018,9201)  (5018,9151)  | overflowToLeft=false
The Red Reaches  (4615,12084)  (4559,12068)  (4502,12127)  (4654,12041)  (4560,12126)  (4673,12101)  (4728,12113)  (4710,12042)  | overflowToLeft=false
Grimesilt Dig Site  (3811,8960)  (3853,9010)  (3770,8910)  (3861,8935)  | overflowToLeft=false
Ruins of Silvermoon  (5067,1734)  (5017,1783)  (5017,1733)  (5067,1684)  (5117,1684)  (5117,1734)  | overflowToLeft=false
Stormglen Village  (2123,6556)  (2073,6579)  (2173,6512)  (2173,6562)  | overflowToLeft=false
Shimmer Ridge  (2947,8107)  (2996,8157)  (2946,8157)  (2910,8057)  (2960,8057)  (2997,8107)  (3010,8044)  (2896,8183)  (3003,8207)  (2953,8207)  (3047,8094)  | overflowToLeft=false
Twilight Shore  (5916,7667)  (5915,7719)  (5967,7682)  (6017,7699)  (6069,7685)  (5966,7734)  (6016,7750)  (6068,7737)  (5999,7803)  (6054,7787)  | overflowToLeft=false
Dead Man's Mountains  (1506,9132)  (1436,9178)  (1373,9199)  (1308,9241)  (1247,9245)  (1254,9176)  (1266,9108)  (1327,9103)  (1313,9178)  (1379,9121)  (1432,9110)  | overflowToLeft=false
Karazhan Village  (3996,11372)  | overflowToLeft=false
Quel'Danas Dead Scar  (5226,1000)  (5231,865)  (5199,760)  | overflowToLeft=false
Ogri'la  (98,11931)  (133,11981)  (83,11981)  (75,11881)  (125,11881)  (148,11931)  (105,12031)  (89,11831)  (139,11831)  (102,12081)  (104,11781)  (89,12131)  | overflowToLeft=false
Hearthglen  (3670,3853)  (3620,3902)  (3620,3852)  (3719,3903)  (3670,3803)  (3720,3803)  (3720,3853)  (3618,3802)  (3570,3907)  (3570,3857)  (3769,3903)  (3731,3953)  (3770,3766)  (3770,3816)  | overflowToLeft=false
An'daroth  (4954,2730)  (4904,2779)  (4973,2780)  (4977,2680)  (5027,2650)  | overflowToLeft=false
Northern Lordaeron  (4217,3585)  (4167,3634)  (4167,3584)  (4266,3635)  (4217,3535)  (4267,3535)  (4267,3585)  (4165,3534)  (4216,3684)  (4166,3684)  (4117,3634)  (4117,3584)  (4316,3635)  (4316,3685)  (4266,3685)  (4116,3685)  (4215,3485)  (4265,3485)  (4315,3485)  (4317,3535)  (4317,3585)  (4115,3534)  (4115,3484)  (4165,3484)  (4365,3437)  (4216,3734)  (4166,3734)  (4067,3635)  (4067,3585)  (4366,3635)  (4366,3685)  (4307,3735)  (4116,3735)  (4066,3735)  (4066,3685)  (4241,3435)  (4291,3435)  (4367,3487)  (4367,3537)  (4065,3535)  (4065,3485)  (4341,3387)  (4391,3387)  (4415,3437)  (4241,3784)  (4191,3784)  (4017,3607)  (4416,3587)  (4141,3785)  (4091,3785)  (4280,3385)  (4417,3487)  (4417,3537)  | overflowToLeft=false
Old Drust Road  (1328,8871)  (1271,8887)  (1242,8950)  (1319,8946)  (1383,8955)  (1310,9028)  (1214,8883)  (1197,8825)  (1272,8827)  | overflowToLeft=false
Undercity  (2744,4530)  (2694,4579)  (2694,4529)  (2793,4580)  (2744,4480)  (2794,4480)  (2794,4530)  (2692,4479)  (2743,4629)  (2796,4630)  (2844,4573)  | overflowToLeft=false
Aerie Valley  (3963,5356)  (3918,5381)  (3857,5437)  (3809,5503)  (3758,5545)  | overflowToLeft=false
Shattershore  (4769,11465)  (4820,11484)  (4764,11521)  (4823,11543)  (4742,11579)  (4797,11601)  (4853,11628)  | overflowToLeft=false
The Loch  (4636,8216)  (4586,8259)  (4586,8209)  (4685,8266)  (4636,8166)  (4686,8166)  (4686,8216)  (4578,8159)  (4635,8309)  (4735,8266)  (4735,8316)  (4685,8316)  (4628,8116)  (4678,8116)  (4728,8116)  (4736,8166)  (4736,8216)  (4578,8109)  (4635,8359)  (4785,8266)  (4785,8316)  (4750,8366)  (4700,8366)  (4628,8066)  (4678,8066)  (4728,8066)  (4578,8021)  (4702,8416)  (4628,8016)  (4678,8016)  (4588,7966)  (4638,7966)  (4688,7966)  | overflowToLeft=false
Sunblade Coast  (5102,770)  (5118,871)  (5148,964)  | overflowToLeft=false
The Rotting Orchard  (3350,11274)  (3376,11324)  (3319,11224)  (3369,11224)  | overflowToLeft=false
Stratholme Gate  (4638,3608)  (4588,3657)  (4588,3607)  (4687,3658)  (4688,3568)  (4538,3666)  (4737,3618)  (4738,3568)  (4788,3568)  | overflowToLeft=false
Lakeshire  (4017,10291)  (3967,10310)  (4067,10280)  (3917,10313)  (4117,10282)  | overflowToLeft=false
Stillwater Pond  (2400,4173)  (2350,4222)  (2350,4172)  (2449,4223)  (2450,4141)  (2348,4122)  (2300,4234)  (2300,4184)  (2499,4191)  (2500,4141)  (2298,4134)  (2250,4263)  (2250,4213)  (2248,4163)  | overflowToLeft=false
Exile's Reach  (475,3509)  (425,3558)  (425,3508)  (524,3559)  (475,3459)  (525,3459)  (525,3509)  (423,3458)  (474,3608)  (375,3573)  (375,3523)  (574,3559)  (574,3609)  (524,3609)  (473,3409)  (523,3409)  (573,3409)  (575,3459)  (575,3509)  (373,3473)  (373,3423)  (423,3408)  (325,3620)  (325,3570)  (603,3659)  (323,3520)  (323,3470)  (275,3603)  (587,3709)  (273,3553)  (273,3503)  (273,3453)  | overflowToLeft=false
Brackwell Pumpkin Patch  (3290,10592)  (3240,10597)  (3340,10570)  (3340,10620)  (3190,10597)  (3390,10556)  (3390,10606)  (3140,10557)  | overflowToLeft=false
Darkshire  (3496,11058)  (3541,11108)  (3491,11108)  (3472,11008)  (3522,11008)  (3546,11058)  (3441,11113)  (3572,10991)  | overflowToLeft=false
Undercroft  (4617,4557)  (4670,4533)  (4734,4519)  (4575,4503)  (4494,4483)  | overflowToLeft=false
Mok'Nathal Village  (1002,12003)  (922,11999)  (948,12055)  (1015,12058)  | overflowToLeft=false
The Slag Pit  (3437,9070)  (3387,9100)  (3487,9055)  (3337,9080)  (3537,9056)  (3587,9052)  | overflowToLeft=false
Crystal Lake  (3045,10457)  (2995,10487)  (2995,10437)  (3076,10507)  (3045,10407)  (3095,10407)  (3095,10457)  (2974,10387)  | overflowToLeft=false
Gol Osigr  (434,9080)  (446,9142)  (499,9119)  (392,9188)  (455,9211)  (566,9108)  (455,9275)  (389,9244)  | overflowToLeft=false
Raven Hill  (2677,11151)  (2627,11200)  (2727,11108)  | overflowToLeft=false
Bloodgulch  (5619,7466)  (5570,7452)  (5611,7410)  (5666,7420)  (5659,7368)  (5714,7364)  (5718,7422)  (5779,7393)  | overflowToLeft=false
Wetland Road  (4310,7295)  (4354,7345)  (4404,7382)  (4162,7153)  | overflowToLeft=false
Dun Morogh Airfield  (3725,8098)  (3675,8147)  (3774,8148)  (3689,8048)  (3739,8048)  (3625,8170)  (3824,8110)  (3691,7998)  (3741,7998)  (3681,7948)  (3731,7948)  (3699,7898)  (3701,7848)  | overflowToLeft=false
Briarback Kraul  (1070,8140)  (1120,8158)  (1180,8166)  (1067,8087)  (1124,8108)  (1169,8120)  (1126,8057)  | overflowToLeft=false
Fargodeep Mine  (2794,10598)  (2754,10648)  (2805,10548)  | overflowToLeft=false
The Yorgen Farmstead  (3194,11280)  (3144,11297)  (3144,11247)  (3244,11267)  | overflowToLeft=false
Alterac Mountains  (3056,4935)  (3106,4893)  (2975,5033)  (3156,4881)  (2910,5127)  (2937,5177)  (3303,4999)  (2964,5227)  | overflowToLeft=false
South Plaguewood  (4721,3907)  (4671,3951)  (4671,3901)  (4771,3873)  (4771,3923)  (4621,3945)  (4621,3895)  (4821,3866)  (4821,3916)  (4595,3845)  (4571,3938)  (4871,3886)  (4921,3911)  (4971,3931)  | overflowToLeft=false
The Black Temple  (334,13126)  (284,13155)  (284,13105)  (377,13176)  (384,13108)  (327,13205)  (360,13255)  | overflowToLeft=false
Gates of Zul'Gurub  (3344,11729)  (3294,11708)  (3344,11779)  (3394,11726)  | overflowToLeft=false
The Creeping Ruin  (4751,5366)  (4701,5415)  (4701,5365)  (4800,5416)  (4751,5316)  (4801,5316)  (4801,5366)  | overflowToLeft=false
Valley of Kings  (4244,8513)  (4209,8575)  | overflowToLeft=false
Gates of Ironforge  (3155,8155)  (3105,8179)  (3202,8105)  (3205,8155)  | overflowToLeft=false
Loch Modan Mountains  (4206,8202)  (4156,8251)  (4156,8201)  (4255,8252)  (4206,8152)  (4256,8185)  (4154,8151)  (4205,8301)  (4106,8227)  (4260,8302)  (4204,8102)  (4104,8109)  (4154,8101)  (4083,8059)  (4210,8351)  (4260,8352)  (4204,8052)  (4133,8051)  (4160,8376)  (4019,8256)  (4120,8001)  (4110,8405)  (4060,8416)  (4010,8419)  (4174,8426)  (4126,7951)  (4124,8455)  (4074,8466)  (4024,8469)  (4180,8476)  (3974,8486)  (4176,7908)  (4226,7906)  (4126,7901)  (4130,8505)  (4080,8516)  (4030,8519)  (3980,8536)  (4176,7858)  (4494,7857)  (4226,7856)  (4361,7856)  (4411,7854)  (4142,8555)  (4544,7849)  (4276,7841)  (4092,8566)  (4461,7807)  (4218,7806)  (4326,7806)  (4376,7804)  | overflowToLeft=false
Algaz Station  (4307,7980)  (4357,7985)  | overflowToLeft=false
Valley of Fangs  (4534,9013)  | overflowToLeft=false
Dabyrie's Farmstead  (4365,5988)  (4315,6006)  (4390,5938)  (4415,5988)  (4440,5928)  | overflowToLeft=false
Shifting Mire  (4697,10768)  (4647,10791)  (4647,10741)  (4746,10818)  (4697,10718)  (4747,10718)  (4747,10768)  (4597,10757)  (4777,10868)  (4846,10918)  (4796,10918)  (4746,10925)  (4785,10975)  | overflowToLeft=false
Northpass Tower  (5199,3725)  (5226,3607)  (5241,3664)  (5265,3727)  (5201,3792)  (5266,3792)  (5202,3856)  (5267,3863)  (5324,3729)  (5322,3793)  (5322,3877)  | overflowToLeft=false
Andorhal  (3655,4672)  (3605,4721)  (3605,4671)  (3704,4722)  (3655,4622)  (3705,4622)  (3705,4672)  (3555,4702)  (3755,4628)  | overflowToLeft=false
Deadmines  (2127,11325)  | overflowToLeft=false
Dun Morogh Mountains  (3440,8617)  (3390,8666)  (3390,8616)  (3489,8667)  (3440,8567)  (3490,8567)  (3490,8617)  (3388,8566)  (3439,8716)  (3389,8716)  (3340,8649)  (3539,8667)  (3539,8717)  (3489,8717)  (3540,8523)  (3540,8573)  (3338,8599)  (3338,8549)  (3439,8766)  (3589,8623)  (3589,8673)  (3589,8723)  (3539,8767)  (3489,8767)  (3590,8537)  (3288,8647)  (3288,8597)  (3288,8547)  (3595,8773)  (3639,8587)  (3238,8666)  (3238,8616)  (3238,8566)  (3238,8516)  (3219,8718)  (3689,8546)  (3689,8596)  (3188,8668)  (3188,8618)  (3188,8568)  (3169,8751)  (3739,8554)  (3739,8604)  (3138,8701)  (3138,8651)  (3119,8760)  (3789,8553)  (3789,8603)  (3088,8710)  (3088,8660)  (3796,8720)  | overflowToLeft=false
Thundermar Ruins  (5450,7366)  (5448,7311)  (5501,7315)  (5504,7369)  (5505,7425)  (5453,7429)  (5387,7353)  (5452,7259)  | overflowToLeft=false
Twilight Camp  (4679,8037)  | overflowToLeft=false
The Wetlands  (3945,7124)  (3895,7132)  (3995,7114)  (3845,7129)  (4045,7123)  | overflowToLeft=false
Maw of Madness  (5563,6982)  (5570,7036)  (5569,7095)  (5512,7101)  (5511,7044)  (5507,6985)  (5456,6985)  (5456,7044)  (5394,7034)  (5401,6978)  (5346,6978)  | overflowToLeft=false
Elrendar River  (4763,2556)  (4686,2802)  (4994,2594)  (5264,2592)  | overflowToLeft=false
Pillar of Ash  (4213,9833)  (4163,9882)  (4163,9832)  (4262,9883)  (4213,9783)  (4263,9783)  (4263,9833)  (4161,9782)  (4113,9900)  (4113,9850)  (4312,9883)  (4271,9733)  (4313,9806)  (4111,9800)  (4083,9750)  (4063,9895)  (4362,9856)  (4362,9906)  (4061,9803)  | overflowToLeft=false
Apocryphan's Rest  (4128,9090)  (4157,9040)  (4178,9090)  | overflowToLeft=false
Amani Mountains  (5827,2849)  (5777,2852)  (5777,2802)  (5876,2899)  (5827,2799)  (5877,2799)  (5877,2849)  (5826,2902)  (5776,2902)  (5915,2949)  (5726,2949)  (5788,2749)  (5838,2749)  (5888,2749)  (5865,2952)  (5815,2952)  (5938,2999)  (5765,2999)  (5779,2699)  (5829,2699)  (5879,2699)  (5888,3002)  (5838,3002)  (5731,3049)  (5770,2649)  (5820,2649)  (5681,3056)  | overflowToLeft=false
Raptor Ridge  (4657,7133)  (4607,7114)  (4706,7183)  (4656,7183)  (4657,7083)  (4707,7126)  | overflowToLeft=false
Goldshire  (2811,10424)  (2761,10453)  (2761,10403)  (2860,10474)  (2861,10383)  (2910,10460)  | overflowToLeft=false
The Worg Orchards  (2253,4876)  (2203,4918)  (2274,4826)  (2322,4758)  (2327,4708)  (2370,4658)  | overflowToLeft=false
Stormwind Mountains  (2655,9714)  (2542,9763)  (2555,9657)  (2430,9788)  (2442,9664)  (2338,9789)  (2322,9678)  (2665,9790)  (2720,9662)  (2828,9677)  (2779,9789)  (2799,9933)  (2944,9639)  (2249,9747)  (2964,9561)  | overflowToLeft=false
Zul'Dare  (2018,6908)  (2007,6994)  (1923,7007)  (1909,6952)  (1958,6884)  (1853,6863)  | overflowToLeft=false
Mariner's Strand  (1560,7876)  (1506,7891)  (1554,7932)  (1505,7948)  (1467,7997)  (1419,7992)  | overflowToLeft=false
Stonesplinter Valley  (4430,8543)  | overflowToLeft=false
Nesingwary's Expedition  (2967,11655)  (2917,11622)  (3010,11705)  (3020,11755)  (3006,11805)  | overflowToLeft=false
Andorhal Road  (3638,4535)  (3588,4576)  (3588,4526)  (3688,4532)  | overflowToLeft=false
Grinding Quarry  (1328,1168)  (1366,1218)  (1332,1118)  (1316,1245)  (1216,1167)  | overflowToLeft=false
The Writhing Haunt  (3855,4630)  (3899,4680)  (3814,4580)  (3905,4612)  (3795,4530)  | overflowToLeft=false
Twin Rivers  (1424,7935)  (1326,8069)  (1369,8228)  (1419,8418)  (1468,8056)  | overflowToLeft=false
The Altar of Zul  (4668,5527)  (4618,5547)  (4677,5577)  (4718,5486)  (4727,5536)  (4761,5586)  | overflowToLeft=false
Sundown Marsh  (3752,7028)  (3702,7077)  (3778,6978)  (3802,7028)  (3828,6963)  (3652,7081)  (3852,7013)  (3622,7031)  (3902,6972)  (3902,7022)  (3572,7039)  (3952,7003)  | overflowToLeft=false
Stromgarde City  (3728,6253)  (3782,6208)  (3785,6266)  (3836,6233)  (3892,6234)  | overflowToLeft=false
Searing Peak  (4402,10104)  (4352,10153)  (4352,10103)  (4451,10154)  (4402,10054)  (4452,10054)  (4452,10104)  (4350,10053)  (4401,10203)  (4302,10119)  (4501,10154)  (4501,10204)  (4451,10204)  (4400,10004)  (4486,10004)  (4502,10054)  (4502,10104)  (4300,10069)  (4300,10019)  (4350,10003)  (4551,10154)  (4250,10023)  (4200,10030)  (4200,9980)  (4199,10159)  (4150,9972)  (4086,9965)  (4051,10067)  (4040,10017)  (4036,9967)  (4001,10075)  (3990,10025)  (3986,9975)  (3940,10048)  (3936,9998)  (3928,9948)  (3886,10022)  (3878,9972)  (3861,9922)  (3828,9982)  (3811,9932)  (3761,9961)  (3761,9911)  | overflowToLeft=false
Corin's Crossing  (5151,4407)  (5212,4408)  (5270,4408)  (5332,4409)  (5245,4353)  (5311,4354)  (5278,4299)  | overflowToLeft=false
Three Corners  (3837,10559)  (3787,10534)  (3808,10609)  (3887,10511)  | overflowToLeft=false
The Bulwark  (3263,4501)  (3228,4451)  (3313,4492)  (3333,4542)  | overflowToLeft=false
Camp Cagg  (4146,9237)  (4096,9283)  (4096,9233)  (4196,9206)  | overflowToLeft=false
Twilight Citadel  (5142,7866)  (5139,7919)  (5194,7865)  (5193,7918)  (5245,7862)  (5248,7914)  (5298,7848)  (5197,7805)  (5250,7808)  (5303,7796)  (5130,7752)  (5182,7750)  (5246,7747)  | overflowToLeft=false
